slug,name,description,published
getting-started,Getting Started,An overview of ues.io and instructions on getting stared with your studio account and first app.,true
core-concepts,Core Concepts,Learn about the core concepts and guiding principles of ues.io.,true
guides,Guides,Step-by-step tutorials for getting common tasks done with ues.io.,true
metadata-types,Metadata Types,Docs on each metadata type.,true
built-in-components,Built-in Components,Docs on the built-in components.,true
crm,CRM,Docs for the CRM app.,true
